tail_number,manufacturer,model
"N37293","Boeing","B737-800PAX"
"N812FD","Airbus","A310-300"
"N232AE","SAAB","SF-340/A"
"N9412W","McDonnell-Douglas","SUPER80PASSENGER"
"N844FE","Cessna","CE-208B"
"N751CZ","Embraer","EMB170"
"N624","Boeing","B737-3"
"N980AL","Boeing","B727-2"
"N463AW","Canadair","RJ-200"
"N884AS","Canadair","RJ-200"
"N329JB","Embraer","E190-100-PSGR"
"N7819","Boeing","737-700PASSENGERONLY"
"N176DZ","Boeing","B767-3"
"N668UA","Boeing","B767-322DRPAX"
"N524SW","Boeing","B-737-5H4"
"N3753","Boeing","B737-8"
"N916SW","Canadair","RJ-200"
"N811UA","Airbus","AirbusA319-131PAX"
"N709PS","GE","RJ-700"
"N582ML","Canadair","CRJ-2/4"
"N945SW","Canadair","RJ-200"
"N417YX","Embraer","ERJ-175-200LR"
"N851CE","Douglas","DC-6ACARGO"
"N288AM","ATR","ATR-72Passenger"
"N754BC","Embraer","E190-100-PSGR"
"N137FE","Boeing","767-3S2F"
"N628US","Boeing","B747-1"
"N472","Boeing","737-700PASSENGERONLY"
"N979JT","Airbus","A321-231"
"N335LL","GulfStream","IVSP"
"N8837B","Canadair","RJ-200"
"N18622","Boeing","B737-500PAX"
"N7814B","Boeing","B-737-7K9"
"N66893","Boeing","B737-900ERPAX"
"N524","Boeing","B737-5"
"N920DL","McDonnell-Douglas","MD-88-PSGR"
"N374SK","Embraer","Embraer-140"
"N816SY","Boeing","B737-800"
"N239WA","Boeing","B737-1/2"
"N715SW","Boeing","B-737-7H4"
"N59053","Boeing","B767-400PAX"
"N424AW","Canadair","RJ-200"
"N945CA","Canadair","RJ100/ER"
"N296","Boeing","B737-7/L"
"N8514F","Boeing","B-737-8H4"
"N14186","Embraer","ERJ-145XR"
"N75436","Boeing","B737-900ERPAX"
"N628AE","Embraer","ERJ-145"
"N987AN","Boeing","B737-823PASSENGER"
"N471AA","McDonnell-Douglas","SUPER80PASSENGER"
"N8928E","McDonnell-Douglas","DC-9-30"
"N334NW","Airbus","A320-PSGR"
"N784AL","McDonnell-Douglas","DC-8-6F"
"N18556","Embraer","ERJ-145LR"
"N673BR","Canadair","RJ-200"
"N530US","Boeing","B757-2"
"N380","Boeing","B737-3"
"N247NV","Airbus","A320"
"N816CA","Canadair","RJ100/ER"
"419NV","McDonnell-Douglas","MD-83"
"N715","Boeing","B737-7/L"
"N589AS","Boeing","B737-890ALLPAX"
"N950DL","McDonnell-Douglas","MD-88-PSGR"
"N423SW","Canadair","RJ-200"
"N854GT","Boeing","B747-800"
"N295AA","McDonnell-Douglas","MD-80"
"N75999","Canadair","CRJ-2/4"
"N14168","Embraer","ERJ-145XR"
"N633JB","Airbus","A320-232-PSGR"
"N480UA","Airbus","AirbusA320-232PAX"
"N341PQ","Bombardier","CRJ-900LR-PSGR"
"N195AN","Boeing","B757-223PASSENGER"
"N923FT","Boeing","B747-2/3"
"N821DN","Boeing","737-932ER-PSGR"
"N24715","Boeing","B737-700PAX"
"N721FR","JacksonSquare","A-321"
"409NV","McDonnell-Douglas","MD-83"
"N597NN","GE","CRJ900"
"N430AA","McDonnell-Douglas","SUPER80PASSENGER"
"N302UP","Boeing","B767-3"
"N14653","Boeing","B737-500PAX"
"N993FE","Cessna","CE-208B"
"N897SK","Bombardier","CRJ900-2D24"
"N787AN","Boeing","B777-200PASSENGER"
"N679NK","Airbus","A-321-PSGR"
"N540MC","Boeing","B747-200"
"N386DA","Boeing","B737-8"
"N253UP","McDonnell-Douglas","MD-11F"
"904NV","Boeing","757-200"
"N954JB","Airbus","A321-231"
"N8602WN","Boeing","737-800PASSENGERONLY"
"N763SK","Canadair","RJ-700"
"N639","Boeing","B737-3"
"N489EV","Boeing","B747-2/3"
"N348PH","DeHavilland","DHC8-200"
"N203JB","Embraer","EMB-190"
"N926NN","Boeing","B737-823PASSENGER"
"N826AL","Boeing","B737-282C"
"N727YX","Embraer","ERJ-170-200LR"
"N604","Boeing","B737-3"
"N959FD","Boeing","B-757-200"
"N435YX","Embraer","ERJ-170-200LR"
"N8630B","Boeing","B-737-8H4"
"N307DQ","Boeing","B-737-7L"
"N768NA","Boeing","B767-300PSGR"
"N151SY","Embraer","ERJ175"
"P4-LAE","Lockheed","L-382G"
"N902DA","McDonnell-Douglas","MD-90-PSGR"
"N793AN","Boeing","B777-200PASSENGER"
"N597UA","Boeing","B757-222PAX"
"N955AN","Boeing","B737-823PASSENGER"
"N430CA","Canadair","RJ100/ER"
"N8606","Boeing","737-800PASSENGERONLY"
"N303AS","Boeing","B737-990ALLPAX"
"N764AT","Boeing","B727-2"
"N14655","Boeing","B737-5"
"N639VA","Airbus","A320-214"
"N490FE","Boeing","B727-2"
"N349PQ","Bombardier","CRJ-900LR-PSGR"
"N204FE","Boeing","B727-2"
"N927AT","Boeing","Boeing717-200"
"N826NW","Airbus","A330-323-PSGR"
"N729","Boeing","B737-7/L"
"N604FE","McDonnell-Douglas","MD11"
"N436YV","DeHavilland","DHC8-200"
"N307UP","Boeing","B767-3"
"N153AN","Airbus","A321-231"
"PHHZO","Boeing","B737-800"
"N902NN","Boeing","B737-823PASSENGER"
"N793UA","Boeing","B777-222BPAX"
"N687AA","Boeing","B757-223PASSENGER"
"N552UW","Airbus","A321-231"
"N395AN","Boeing","B767-323ERPASSENGER"
"N262AA","McDonnell-Douglas","SUPER80PASSENGER"
"N110AN","Airbus","A321-231PASSENGER"
"N959JB","Airbus","A321-231"
"N86311","Embraer","EMB-175-PSGR"
"N768SK","Canadair","RJ-700"
"N645","Boeing","B737-3"
"n8710a","Bombardier","CRJ200"
"N498FE","Boeing","B727-2"
"N355AA*","Boeing","B767-323ERPASSENGER"
"N21144","Embraer","ERJ-145XR"
"N930CE","Douglas","DC-9-33FCARGO"
"N830DN","Boeing","737-932ER-PSGR"
"N73445","Boeing","B737-900ERPAX"
"N608QX","Canadair","RJ-700"
"N964AX","McDonnell-Douglas","DC-9-40"
"N443AW","Canadair","RJ-200"
"N865NN","Boeing","B737-823PASSENGER"
"N312EV","McDonnell-Douglas","MD-90-PSGR"
"N771UA","Boeing","B777-222PAX"
"N16112","Embraer","ERJ-145XR"
"N650XF","GulfStream","GA-VI-VIPSGR"
"N505JB","Airbus","A320-232-PSGR"
"n8672a","Bombardier","CRJ200"
"N905JB","Airbus","A321-231-PSGR"
"N8001N","Airbus","A319-115PASSENGER"
"N694","Boeing","B737-3"
"N560UW","Airbus","A321-231"
"N9340","McDonnell-Douglas","DC-9-30"
"N402FE","Airbus","A310-2CF"
"N832NK","McDonnell-Douglas","MD-80"
"N270AK","Boeing","B737-990ERALLPAX"
"N742AL","Boeing","B737-7"
"N886AS","Embraer","RJ-200"
"N7820","Boeing","737-700PASSENGERONLY"
"N669US","Boeing","B747-4"
"N525UA","Boeing","B757-222PAX"
"N375NC","Airbus","A320-PSGR"
"N241SY","Embraer","ERJ175"
"N946FE","Cessna","CE-208B"
"N8524A","Canadair","RJ-200"
"N7550","McDonnell-Douglas","SUPER80PASSENGER"
"N629JB","Airbus","A320-232-PSGR"
"N473MC","Boeing","B747-400"
"N336AA","Boeing","B767-223ERPASSENGER"
"N187PQ","Bombardier","RJ-900"
"N920TW","McDonnell-Douglas","MD-80"
"N817NW","Airbus","A330-PSGR"
"N716PS","GE","RJ-700"
"N591AA","McDonnell-Douglas","SUPER80PASSENGER"
"N951FR","Airbus","A-319-111"
"N425LV","Boeing","B737-7/L"
"N855NN","Boeing","B737-823PASSENGER"
"N297PQ","Bombardier","CRJ-900LR-PSGR"
"N760NA","Boeing","B767-300PSGR"
"N14228","Boeing","B737-800PAX"
"N988","Boeing","717-200PASSENGERONLY"
"N979TW","McDonnell-Douglas","SUPER80PASSENGER"
"N462UA","Airbus","AirbusA320-232PAX"
"N883FD","Boeing","B-777-FHT"
"N329","Boeing","B737-3"
"N7816B","Boeing","B-737-7L9"
"N17663","Boeing","B737-5"
"N668CA","Canadair","RJ-700"
"N524JB","Airbus","A320-232-PSGR"
"N916GR","GulfStream","200"
"N811MD","Embraer","ERJ170-100SU"
"N709EV","Canadair","RJ-700"
"N582AA","McDonnell-Douglas","SUPER80PASSENGER"
"N945JT","Airbus","A321-231"
"N417UP","Boeing","B757-2"
"N8517F","Boeing","B-737-8H4"
"N287SK","Embraer","Embraer-145"
"N7547A","McDonnell-Douglas","SUPER80PASSENGER"
"N13750","Boeing","B737-700PAX"
"N628DL","Boeing","B757-2"
"N471EV","Boeing","B747-2/3"
"N979DL","McDonnell-Douglas","MD-88-PSGR"
"N334WN","Boeing","737-300PASSENGERONLY"
"N88335","Embraer","EMB-175-PSGR"
"N185FE","Boeing","B727-1"
"N7812","Boeing","737-700PASSENGERONLY"
"N66828","Boeing","B737-900ERPAX"
"N523UP","Boeing","B747-2/3"
"N920AN","Boeing","B737-823PASSENGER"
"N374HA","Airbus","A330-200"
"N816HK","Embraer","EMB-145"
"N238WN","Boeing","B737-7/L"
"N715FR","ICBC","A-321"
"N589NN","GE","CRJ900"
"N423WN","Boeing","B737-7/L"
"N944WN","Boeing","B-737-7H4"
"N295SK","Embraer","Embraer-145"
"N850UA","Airbus","AirbusA319-131PAX"
"N14177","Embraer","ERJ-145XR"
"N75429","Boeing","B737-900ERPAX"
"N62894","Boeing","B737-900ERPAX"
"N986JB","Airbus","A321-231"
"N470EV","Boeing","B747-2/3"
"N8923E","McDonnell-Douglas","DC-9-30"
"N334AW","Boeing","B737-3Y0"
"N7846A","Boeing","B-737-76N"
"N184JB","Embraer","EMB-190"
"N673","Boeing","B737-3"
"N530EA","Bombardier","CRJ700"
"N379SK","Embraer","Embraer-140"
"N247AK","Boeing","B737-990ERALLPAX"
"N816AA","Dassault","FALCON"
"414NV","McDonnell-Douglas","MD-88"
"N714SA","Boeing","B-777-F"
"N588NW","Boeing","B757-3"
"N950","Boeing","737-700PASSENGERONLY"
"N423AW","Canadair","RJ-200"
"N8549Z","Boeing","B-737-8H4"
"N294SW","Embraer","EMB120-ER"
"N75993","Canadair","RJ-200"
"N14143","Embraer","ERJ-145XR"
"N633AS","ATR","ATR-72"
"N480","Boeing","737-700PASSENGERONLY"
"N34137","Boeing","B757-200PAX"
"N194UA","Boeing","B747-422PAX"
"N923EV","Bombardier","CRJ200-2B19"
"N378SW","Boeing","B-737-3H4"
"N821AS","Canadair","RJ-200"
"N246SY","Embraer","ERJ175"
"N720WN","Boeing","B-737-7H4"
"404NV","McDonnell-Douglas","MD-88"
"N597AS","Boeing","B737-890ALLPAX"
"N429XJ","Saab","Saab340B"
"N302KH","Boeing","B-737-300"
"N14628","Boeing","B737-500PAX"
"N99330","McDonnell-Douglas","DC-6A"
"N8978E","McDonnell-Douglas","DC-9-30"
"N7876A","Boeing","B-737-7Q8"
"N679BC","Embraer","E190-100-PSGR"
"N539US","Boeing","B757-2"
"N385WN","Boeing","737-300PASSENGERONLY"
"N253MY","Boeing","B-767-PSGR"
"895GA","McDonnell-Douglas","MD-83"
"N954DL","McDonnell-Douglas","MD-88-PSGR"
"N8601","Boeing","737-800PASSENGERONLY"
"N763CA","Boeing","757-2Y0"
"N638RW","Embraer","ERJ-170-100SE"
"N489","Boeing","737-700PASSENGERONLY"
"N348AE","ATR","ATR-72Passenger"
"N203","Boeing","737-700PASSENGERONLY"
"N926FR","Airbus","A319-1"
"N825PH","DeHavilland","DASH8-1"
"N727SW","Boeing","B-737-7H4"
"N603QX","DeHavilland","RJ-700"
"N959AT","Boeing","Boeing717-200"
"N435UA","Airbus","AirbusA320-232PAX"
"N862GA","McDonnell-Douglas","MD-83"
"N307AE","SAAB","Saab340"
"N151DL","Douglas","MD-88-PSGR"
"OOJAA","Boeing","B737-800"
"N902AE","SAAB","Saab340"
"N792SK","Canadair","RJ-700"
"N685AE","Embraer","ERJ-145ER"
"N551CE","Douglas","DC-6BCARGO"
"N9306T","McDonnell-Douglas","MD-80"
"N39416","Boeing","B737-900ERPAX"
"N830AE","Embraer","ERJ-140"
"N261AE","SAAB","Saab340"
"N733TW","Boeing","B737-1/2"
"N108AX","McDonnell-Douglas","DC-10-3"
"N608CZ","Embraer","EMB175"
"N442UP","Boeing","B757-2"
"N958N","McDonnell-Douglas","DC-9-30"
"N8628","Boeing","737-800PASSENGERONLY"
"N767SK","Canadair","RJ-700"
"N643UA","Boeing","B767-322ERPAX"
"n8604c","Bombardier","CRJ200"
"N496DN","McDonnell-Douglas","MD-82-PSGR"
"N905EV","Canadair","RJ-200"
"N354AA","Boeing","B767-323ERPASSENGER"
"N799UA","Boeing","B777-222BPAX"
"N209WN","Boeing","B737-7/L"
"N69351","Boeing","B737-3"
"N560AA","McDonnell-Douglas","SUPER80PASSENGER"
"N401WN","Boeing","B737-7/L"
"N929WN","Boeing","B-737-7H4"
"N269SK","Embraer","Embraer-145"
"N8307K","Boeing","B-737-8H4"
"N116UA","Boeing","B747-422PAX"
"N732YX","Embraer","ERJ-170-200LR"
"N607UP","Boeing","747-8F"
"N963AX","McDonnell-Douglas","DC-9-40"
"N442","Boeing","737-700PASSENGERONLY"
"N8654","Boeing","737-800PASSENGERONLY"
"N311EV","McDonnell-Douglas","MD-90-PSGR"
"N7716","Boeing","737-700PASSENGERONLY"
"N159UP","Airbus","A300F4-622R"
"N650AA","Boeing","B757-200PASSENGER"
"N504DN","Airbus","A350-900-PSGR"
"n8541d","Bombardier","CRJ200"
"N360PX","Saab","Saab340"
"N905AE","SAAB","Saab340"
"N216WR","Boeing","B737-7/L"
"N798WN","Boeing","737-700PASSENGERONLY"
"N692BR","Canadair","RJ-200"
"N559AA","McDonnell-Douglas","SUPER80PASSENGER"
"N933DN","McDonnell-Douglas","MD-90-30-PSGR"
"N401JS","Boeing","B757-2"
"N8327WN","Boeing","737-800PASSENGERONLY"
"N26952","Boeing","B787-900PAX"
"N741AL","Boeing","B737-7"
"N115HQ","Embraer","ERJ-175-200LR"
"N613JB","Airbus","A320-232-PSGR"
"N448UA","Airbus","AirbusA320-232PAX"
"N317AE","SAAB","Saab340"
"N8650","Boeing","737-800PASSENGERONLY"
"N16618","Boeing","B737-5"
"N7712","Boeing","737-700PASSENGERONLY"
"N649JB","Airbus","A320-232-PSGR"
"n905xj","Bombardier","CRJ900"
"N503NK","Airbus","A319PAX"
"N908FD","Douglas","B-757-200"
"N35FE","Challenger","0"
"N803UP","McDonnell-Douglas","DC-8-73F"
"N216JB","Embraer","EMB-190"
"N700CK","Boeing","B747-2/3"
"N567NN","GE","CRJ900"
"N406WN","Boeing","B737-7/L"
"N27512","Embraer","ERJ-135"
"N12318","Boeing","B737-3"
"N968AS","McDonnell-Douglas","MD-80"
"N448","Boeing","737-700PASSENGERONLY"
"N8693A","Boeing","B-737-8H4"
"N316NB","Airbus","A319-PSGR"
"N7739","Boeing","737-700PASSENGERONLY"
"N165GJ","Canadair","RJ-700"
"N655BR","Canadair","CRJ-2/4"
"N510JB","Airbus","A320-232-PSGR"
"N366NB","Airbus","A319-PSGR"
"N224","Boeing","737-700PASSENGERONLY"
"N936SW","Canadair","RJ-200"
"N838AE","Embraer","ERJ-140"
"N746CK","Boeing","B747-2/3"
"N618FE","McDonnell-Douglas","MD11"
"N454UP","Boeing","B757-2"
"N322NV","Airbus","A319"
"N17169","Embraer","ERJ-145XR"
"N912WN","Boeing","B-737-7H4"
"N807FX","ATR","ATR72"
"N705AA","Boeing","Super27F"
"N575AM","McDonnell-Douglas","SUPER80PASSENGER"
"N411UP","Boeing","B757-2"
"N280FE","Boeing","B727-2"
"N129UP","Airbus","A300F4-622R"
"N973SW","Canadair","RJ-200"
"N874UP","McDonnell-Douglas","DC8-73F"
"N775WN","Boeing","737-700PASSENGERONLY"
"N661AA","Boeing","B757-223PASSENGER"
"N517MC","Boeing","B747-200"
"N916WN","Boeing","B-737-7H4"
"N37274","Boeing","B737-800PAX"
"N231NV","Airbus","A320"
"N940NN","Boeing","B737-823PASSENGER"
"N844AE","Embraer","ERJ-140"
"N751AL","Boeing","B737-7"
"N623QX","Embraer","ERJ170-200LRALLPAX"
"N366PH","DeHavilland","DHC8-200"
"N808AE","Embraer","ERJ-140"
"N224AA","McDonnell-Douglas","MD-80"
"N705MR","Embraer","EMB-135"
"N576ML","Canadair","CRJ-2/4"
"N412QX","DeHavilland","DHC8-400"
"N281JB","Embraer","EMB-190"
"N13113","Boeing","B757-200PAX"
"N974FD","Boeing","B-757-200"
"N875GA","McDonnell-Douglas","MD-83"
"N776SK","Canadair","RJ-700"
"N17185","Embraer","ERJ-145XR"
"N661UA","Boeing","B767-322ERPAX"
"N518LR","Canadair","RJ-700"
"N372DA","Boeing","B737-8"
"N232SW","Embraer","EMB-120"
"N941CA","Canadair","RJ100/ER"
"N844UA","Airbus","AirbusA319-131PAX"
"N751NW","McDonnell-Douglas","DC9-41-PSGR"
"N624AU","Boeing","B757-2"
"N463WN","Boeing","B737-7/L"
"N329PQ","Bombardier","CRJ-900LR-PSGR"
"N17730","Boeing","B737-700PAX"
"N917","Boeing","737-700PASSENGERONLY"
"N812AY","Canadair","RJ-200"
"N709WN","Boeing","737-700PASSENGERONLY"
"N582UW","Airbus","A321-231"
"N418MC","Boeing","B747-400"
"N288SW","Embraer","EMB120"
"N138DN","Boeing","767-300-PSGR"
"N97DQ","Bombardier","BD-700-1A10PSGR"
"N883GA","McDonnell-Douglas","MD-83"
"N7817J","Boeing","B-737-7L9"
"N668FE","Airbus","A300-600"
"N524MC","Boeing","B747-200"
"N920FR","Airbus","A319-1"
"N3751B","Boeing","B737-8"
"N817AW","Airbus","A319-132"
"N240AT","Boeing","Boeing737-700/LR"
"N716AE","Embraer","ERJ-135"
"N945MA","McDonnell-Douglas","MD-87"
"N8519R","Boeing","B-737-8H4"
"N7549A","McDonnell-Douglas","SUPER80PASSENGER"
"N628NK","Airbus","A-320-PSGR"
"N987FD","Boeing","B-757-200"
"N471UP","Boeing","B757-2"
"N892NN","Boeing","B737-823PASSENGER"
"N33502","McDonnell-Douglas","SUPER80PASSENGER"
"N784DH","Boeing","B727-2"
"N185SY","Embraer","ERJ175"
"N673UA","Boeing","B767-322DRPAX"
"N531JL","Airbus","A320-232-PSGR"
"N380NG","Bombardier","Q400"
"N920AT","Boeing","Boeing717-200"
"N248AA","McDonnell-Douglas","MD-80"
"N816NN","Boeing","B737-823PASSENGER"
"N715JB","Airbus","A320-232-PSGR"
"N589SW","Canadair","CRJ-2/4"
"N950LR","Bombardier","CRJ-900-PSGR"
"N423YX","Embraer","ERJ-170-200LR"
"N8551Q","Boeing","B-737-8H4"
"N295UP","McDonnell-Douglas","MD-11F"
"N759WN","Boeing","737-700PASSENGERONLY"
"N14180","Embraer","ERJ-145XR"
"N633VA","Airbus","A320-214"
"N481DN","McDonnell-Douglas","MD-82-PSGR"
"N986SW","Canadair","RJ-200"
"N34222","Boeing","B737-800PAX"
"N8925E","McDonnell-Douglas","DC-9-30"
"N195UW","Airbus","A321-211"
"N7848A","Boeing","B-737-752"
"N673AN","Boeing","B757-223PASSENGER"
"N530NK","Airbus","A319PAX"
"N923SW","Canadair","RJ-200"
"N379UA","Boeing","B737-3"
"N821MD","Embraer","ERJ170-100SU"
"N247JS","GE","CRJ200"
"N722AE","Embraer","ERJ-135"
"416NV","McDonnell-Douglas","MD-83"
"N598FE","McDonnell-Douglas","MD11"
"N430UA","Airbus","AirbusA320-232PAX"
"N950AR","McDonnell-Douglas","MD11-11-F"
"N303EV","McDonnell-Douglas","MD-90-PSGR"
"N854AS","Canadair","RJ-200"
"N14667","Boeing","B737-5"
"N75995","Canadair","RJ-200"
"N633AW","Airbus","A320-231"
"N994DL","McDonnell-Douglas","MD-88-PSGR"
"N480EV","Boeing","B747-1"
"N898AA","Boeing","B727-Cargo"
"N341NB","Airbus","A319-PSGR"
"N787SK","Canadair","RJ-700"
"N194UW","Airbus","A321-211"
"N68049*","McDonnell-Douglas","DC-10-10"
"N541UA","Boeing","B757-222PAX"
"N387","Boeing","B737-3"
"N254NN","Embraer","ERJ-175"
"952MA","McDonnell-Douglas","MD-87"
"N597FE","McDonnell-Douglas","MD11"
"N954UP","Boeing","B727-100"
"N42NC","ATR","ATR-42"
"N8604K","Boeing","B-737-8H4"
"N302NV","Airbus","A319"
"N7640U","Boeing","B727-2"
"N14639","Boeing","B737-500PAX"
"N639JB","Airbus","A320-232-PSGR"
"N4901U","Airbus","AirbusA320-232"
"N349AN","Boeing","B767-323ERPASSENGER"
"N203WN","Boeing","B737-7/L"
"N926WN","Boeing","B-737-7H4"
"N826DN","Boeing","737-932ER-PSGR"
"N728PL","McDonnell-Douglas","DC-8-62"
"901NV","Boeing","757-200"
"N604AW","Airbus","A320-232"
"N436QX","DeHavilland","DHC8-400"
"N307GT","Boeing","B-737-400"
"N152FE","Boeing","767-300F"
"PHHXG","Boeing","B737-800"
"N902FJ","Bombardier","RJ-900"
"N793FE","Cessna","CE-208B"
"N686CA","Boeing","B727-2"
"N552NN","GE","CRJ900"
"N394FE","McDonnell-Douglas","DC-10-10"
"N26208","Boeing","B737-800PAX"
"N109UW","Airbus","A320-214"
"N959CA","Canadair","RJ100/ER"
"N862RW","Embraer","ERJ-170-100SE"
"N768FE","Cessna","CE-208B"
"N644NW","Boeing","B747-4F"
"n8688c","Bombardier","CRJ200"
"N497WN","Boeing","B737-7/L"
"N354VJ","Bombardier","BD-100-1A10PSGR"
"N210WN","Boeing","B737-7/L"
"N930AN","Boeing","B737-823PASSENGER"
"N830AS","Canadair","RJ-200"
"N733WN","Boeing","737-700PASSENGERONLY"
"N608FE","McDonnell-Douglas","MD11"
"N963WN","Boeing","B-737-7H4"
"N442WN","Boeing","B737-7/L"
"N865DA","Boeing","B777-2"
"N312AE","SAAB","Saab340"
"N771FE","Cessna","CE-208B"
"N160AW","Boeing","B737-3"
"N650RW","Embraer","ERJ-170-100SE"
"n8623a","Bombardier","CRJ200"
"N905FE","Cessna","CE-208B"
"N79EA","Bombardier","CL-600-2B19-PSGR"
"N693AE","Embraer","ERJ-145"
"N560FE","McDonnell-Douglas","DC-10-10"
"N933UP","Boeing","B727-100"
"N401YX","Embraer","ERJ-175-200LR"
"N832AY","Canadair","CRJ200"
"N269WN","Boeing","B-737-7H4"
"N741UW","Airbus","A319-112"
"N117DN","Dornier","DO-228-PSGR"
"N614AS","Boeing","B737-790ALLPAX"
"N449UA","Airbus","AirbusA320-232PAX"
"N963DL","McDonnell-Douglas","MD-88-PSGR"
"N317NB","Airbus","A319-PSGR"
"N8655","Boeing","737-800PASSENGERONLY"
"N166GJ","Canadair","RJ-700"
"N7717D","Boeing","B-737-76N"
"N650AW","Airbus","A320-232"
"n917xj","Bombardier","CRJ900"
"N504LX","DeHavilland","DHC8-400"
"N909","Boeing","737-700PASSENGERONLY"
"N360UP","Boeing","767-34AF"
"N804FD","Airbus","A310-300"
"N21723","Boeing","B737-700Pax"
"N701DN","Boeing","B777-2"
"N568FE","McDonnell-Douglas","DC-10-1"
"N407NW","Boeing","B737-7/L"
"N933F","McDonnell-Douglas","DC-9-30"
"N275WN","Boeing","B-737-7H4"
"N8328A","Boeing","B-737-8H4"
"N124AA","Airbus","A321-231PASSENGER"
"N741AX","Boeing","B767-2"
"N411WN","Boeing","B737-7/L"
"N280SK","Embraer","Embraer-145"
"N13086","McDonnell-Douglas","DC-10-F"
"N973TW","McDonnell-Douglas","SUPER80PASSENGER"
"N87507","Boeing","B737-800PAX"
"N322AA","Boeing","B767-223ERPASSENGER"
"N776","Boeing","B737-7/L"
"N17126","Boeing","B757-200PAX"
"N661AE","Embraer","EMB-145"
"N517NK","Airbus","A319PAX"
"N37277","Boeing","B737-800PAX"
"N231US","McDonnell-Douglas","DC-9-32F"
"N940UP","Boeing","B727-100"
"N844AL","SAAB","SF-340A"
"N751AN","Boeing","B777-200PASSENGER"
"N623SW","Boeing","B-737-3H4"
"N462UP","Boeing","B757-2"
"N329AA","Boeing","B767-223ERPASSENGER"
"N176AA","Boeing","B757-223PASSENGER"
"N916ME","Boeing","B717-2"
"N811NN","Boeing","B737-823PASSENGER"
"N709FR","GE","A-321"
"N582BJ","Airbus","A320-1/2"
"N417US","Boeing","B737-401"
"N287UP","McDonnell-Douglas","MD-11F"
"N1377K","McDonnell-Douglas","DC-6A"
"N979DN","Douglas","MD-88-PSGR"
"N88341","Embraer","EMB-175-PSGR"
"N7812G","Boeing","B-737-76N"
"N66831","Boeing","B737-900ERPAX"
"N523US","Boeing","B757-2"
"N920AS","Canadair","RJ-200"
"N374JB","Embraer","E190-100-PSGR"
"N816MA","Embraer","ERJ170-100SU"
"N239","Boeing","737-700PASSENGERONLY"
"N944WP","AEROSPATIALE","ATR-72-212"
"N8510E","Boeing","B-737-8H4"
"N7542A","McDonnell-Douglas","SUPER80PASSENGER"
"N62895","Boeing","B737-900ERPAX"
"N986NN","Boeing","B737-823"
"N470UA","Airbus","AirbusA320-232PAX"
"N8924B","Canadair","RJ-200"
"N334CJ","Saab","Saab340B"
"N7847A","Boeing","B-737-752"
"N184SY","Embraer","ERJ175"
"N673AE","Embraer","ERJ-145ER"
"N530LA","Boeing","B767-300F"
"N379SW","Boeing","B-737-3H4"
"N919UA","Boeing","B737-5"
"N816AE","Embraer","ERJ-140"
"N714SY","Boeing","B737-700"
"N588SW","Canadair","CRJ-2/4"
"N950AN","Boeing","B737-823PASSENGER"
"N423AX","Boeing","BoeingB767-324ERPAX"
"N854AE","Embraer","ERJ-140"
"N294UP","McDonnell-Douglas","MD-11F"
"N75994","Canadair","RJ-200"
"N14148","Embraer","ERJ-145XR"
"N633AU","Boeing","B757-2"
"N480AA","McDonnell-Douglas","SUPER80PASSENGER"
"N986AR","McDonnell-Douglas","MD11CARGO"
"N341CJ","Saab","Saab340B"
"N891GA","McDonnell-Douglas","MD-83"
"N194US","McDonnell-Douglas","DC-915F"
"N7840A","Boeing","B-737-73V"
"N672DL","Boeing","B757-2"
"N529JB","Airbus","A320-232-PSGR"
"N923FD","Boeing","B757-2"
"N378UA","Boeing","B737-300PAX"
"N821AW","Airbus","A319-132"
"N246WN","Boeing","737-700PASSENGERONLY"
"N721AN","Boeing","B777-300"
"405NV","McDonnell-Douglas","MD-83"
"N597BJ","Airbus","A320-1/2"
"N429YX","Embraer","ERJ-170-200LR"
"N949FR","Airbus","A319-1"
"N302NB","Airbus","A319-114-PSGR"
"N8542Z","Boeing","B-737-8H4"
"N14629","Boeing","B737-500PAX"
"N758UW","Airbus","A319-1"
"N632US","Boeing","B747-4F"
"N993AN","Airbus","A321-231"
"N479AA","McDonnell-Douglas","SUPER80PASSENGER"
"N8979E","McDonnell-Douglas","DC-9-30"
"N340UA","Boeing","B737-300PAX"
"N7877H","Boeing","B-737-7Q8"
"N193UA","Boeing","B747-422PAX"
"N679CA","Bombardier","RJ-900"
"N539UW","Airbus","A321-231"
"N386","Boeing","B737-3"
"N253NN","Embraer","ERJ-175"
"901AX","McDonnell-Douglas","DC9-32"
"N720CK","Boeing","B727-2"
"N596AA","McDonnell-Douglas","SUPER80PASSENGER"
"N954DN","McDonnell-Douglas","MD-90-30-PSGR"
"N429FE","Airbus","A310-2CF"
"N8601C","Boeing","B-737-8H4"
"N301YV","Embraer","EMB120-ER"
"N763CX","Boeing","B-767-200"
"N145FE","Boeing","767-300F"
"N638SW","Boeing","B-737-3H4"
"N48901","Embraer","ERJ-145LR"
"N348AN","Boeing","B767-323ERPASSENGER"
"N203AA","McDonnell-Douglas","MD-80"
"N926FX","ATR","ATR42-300"
"N825SK","Bombardier","RJ-900"
"N252UP","McDonnell-Douglas","MD-11F"
"N727TW","Boeing","B757-2"
"883GA","McDonnell-Douglas","MD-83"
"N603SK","Canadair","RJ-700"
"N435UP","Boeing","B757-2"
"N307AS","Boeing","B737-990ALLPAX"
