year,quarter,month,dayofmonth,dayofweek,flightdate,reporting_airline,dot_id_reporting_airline,iata_code_reporting_airline,tail_number,flight_number_reporting_airline,originairportid,originairportseqid,origincitymarketid,origin,origincityname,originstate,originstatefips,originstatename,originwac,destairportid,destairportseqid,destcitymarketid,dest,destcityname,deststate,deststatefips,deststatename,destwac,crsdeptime,deptime,depdelay,depdelayminutes,depdel15,departuredelaygroups,deptimeblk,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,arrdel15,arrivaldelaygroups,arrtimeblk,cancelled,cancellationcode,diverted,crselapsedtime,actualelapsedtime,airtime,flights,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,firstdeptime,totaladdgtime,longestaddgtime,divairportlandings,divreacheddest,divactualelapsedtime,divarrdelay,divdistance,divairport
2013,1,1,29,2,2013-01-29,UA,19977,UA,N75436,1731,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1821,1902,41,41,1,2,1800-1859,16,1918,2132,5,2109,2137,28,28,1,1,2100-2159,0,0,0,108,95,74,1,589,3,1,0,0,0,27,0,0,0,0,0,0,0,0,0
2013,1,1,7,1,2013-01-07,F9,20436,F9,N802FR,536,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1859,2106,127,127,1,8,1800-1859,11,2117,7,6,2210,13,123,123,1,8,2200-2259,0,0,0,131,127,110,1,895,4,0,0,0,0,123,0,0,0,0,0,0,0,0,0
2013,1,1,13,7,2013-01-13,MQ,20398,MQ,N515MQ,3731,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,2035,2121,46,46,1,3,2000-2059,17,2138,2232,2,2155,2234,39,39,1,2,2100-2159,0,0,0,80,73,54,1,334,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,6,7,2013-01-06,AA,19805,AA,N478AA,386,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22,915,925,10,10,0,0,0900-0959,16,941,1215,5,1220,1220,0,0,0,0,1200-1259,0,0,0,125,115,94,1,733,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,4,5,2013-01-04,OO,20304,OO,N765SK,6360,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,726,724,-2,0,0,-1,0700-0759,14,738,847,5,900,852,-8,0,0,-1,0900-0959,0,0,0,94,88,69,1,416,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,23,3,2013-01-23,AA,19805,AA,N5EEAA,1103,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2000,1951,-9,0,0,-1,2000-2059,15,2006,2208,6,2215,2214,-1,0,0,-1,2200-2259,0,0,0,195,203,182,1,1197,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,29,2,2013-01-29,EV,20366,EV,N13968,5940,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54,656,653,-3,0,0,-1,0600-0659,18,711,817,15,822,832,10,10,0,0,0800-0859,0,0,0,86,99,66,1,409,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,15,2,2013-01-15,WN,19393,WN,N703SW,564,14683,1468303,33214,SAT,"San Antonio, TX",TX,48,Texas,74,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,1110,1230,80,80,1,5,1100-1159,8,1238,1431,5,1345,1436,51,51,1,3,1300-1359,0,0,0,155,126,113,1,1036,5,0,0,0,0,51,0,0,0,0,0,0,0,0,0
2013,1,1,4,5,2013-01-04,AA,19805,AA,N511AA,2364,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1600,1555,-5,0,0,-1,1600-1659,10,1605,1747,23,1820,1810,-10,0,0,-1,1800-1859,0,0,0,140,135,102,1,802,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,30,3,2013-01-30,UA,19977,UA,N441UA,734,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,1310,1308,-2,0,0,-1,1300-1359,16,1324,1529,3,1535,1532,-3,0,0,-1,1500-1559,0,0,0,85,84,65,1,413,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,3,4,2013-01-03,OO,20304,OO,N980SW,5378,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,14006,1400602,34006,PAH,"Paducah, KY",KY,21,Kentucky,52,2110,2101,-9,0,0,-1,2100-2159,16,2117,2204,3,2227,2207,-20,0,0,-2,2200-2259,0,0,0,77,66,47,1,343,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,17,4,2013-01-17,WN,19393,WN,N8329B,301,13232,1323202,30977,MDW,"Chicago, IL",IL,17,Illinois,41,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,1755,1758,3,3,0,0,1700-1759,8,1806,2112,4,2135,2116,-19,0,0,-2,2100-2159,0,0,0,160,138,126,1,990,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,28,1,2013-01-28,AA,19805,AA,N3DHAA,810,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38,1340,1511,91,91,1,6,1300-1359,9,1520,1734,4,1625,1738,73,73,1,4,1600-1659,0,0,0,105,87,74,1,612,3,37,0,36,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,11,5,2013-01-11,YV,20378,YV,N508MJ,3729,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1205,1200,-5,0,0,-1,1200-1259,8,1208,1240,3,1305,1243,-22,0,0,-2,1300-1359,0,0,0,120,103,92,1,606,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
